application software 应用软件
Internet telephony      网络电话制作学
joystick      操纵杆
keyboard      键盘
laster printer      激光打印机
liquid crystal display      液晶显示器
magnetic card reader      磁卡阅读器
magnetic-ink character recognition      磁墨水字符识别
Mobile Digital Television      移动数字电视
mobile robots      移动机器人
monitor      监视器
motion sensing device      运动传感装置
mouse      鼠标
mouse pointer      鼠标指针
multifunction device      多功能设备
multitouch screen      多点触摸屏
notebook keyboard      笔记本键盘
optical-character recognition      光学字符识别
optical-mark recognition      光标记阅读
optical mouse      光电鼠标
optical scanner      光学扫描仪
output      输出
output device      输出设备
perception system robot      机器人感知系统
personal laser printer      个人激光打印机
photo printer      照片打印机
pixel?      像素
picture elements      像素
pixel pitch      像素间距
platform scanner      平台扫描仪
plotter      绘图仪
pointing device      定位设备
pointing stick      定位杆
portable media player      便携式媒体播放器
portable scanner      便携式扫描仪
printer      打印机
resolution      分辨率
radio-frequency identification  reader      射频识别阅读器
radio-frequency identification  tag      射频识别标签
robot      机器人
robotics      机器人技术
scanner      扫描仪
scanning devices      扫描装置
shared laser printer      共享激光打印机
Skype       
soft copy      软复制
speakers      扬声器
stylus      手写笔
technical writer      技术作家
telephony       
thermal printer      热敏式打印机
thin film transistor monitor      薄膜晶体管
thumb keyboard      拇指键盘
toggle key      切换键
touch pad      触摸板
touch screen      触摸屏
trackball      轨迹球
traditional keyboard      传统的键盘
Universal Product Code      通用产品代码
virtual keyboard      虚拟键盘
voice recognition system      语音识别系统
wand reader      磁卡片信息读出器
webcam      网络摄像头
wheel button      滚轮按钮
wireless mouse      无线鼠标
access speed      访问速度,存取速度
Blu-ray disc?      蓝光光盘
capacity      容量
compact disc      光盘
CD-recordable      可写光盘
compact disc-read only memory      只读光盘
compact disc rewritable      可重写光盘
cloud computing      云计算
cylinder      柱面
density      密度
disk caching      磁盘高速缓存技术
digital versatile disc or digital video disk      通用数字视频光盘
DVD random-access memory      一种DVD刻录格式
enterprise storage system      企业存储系统
erasable optical disk      可擦写光盘
external hard drive      外部硬盘驱动器
file compression      文件压缩
file decompression      文件解压缩
file server      文件服务器
flash drive      闪存驱动器
flash memory card      闪存卡
hard disk      硬盘
head crash      磁头碰撞
high definition      高密度
internal hard disk      内置硬盘
land      凸区
lands and pits      凸起和凹坑
mass storage      海量存储
mass storage devices      海量存储设备
media      媒体,介质
network attached storage      网络附加存储
online storage      在线存储
optical disc      光盘
organizational cloud storage      组织云存储
pit      凹坑
platter      盘
primary storage      主存
redundant arrays of inexpensive disks      廉价磁盘阵列,冗余阵列磁盘机
secondary storage      辅存
secondary storage device      辅助存储设备
sector      扇区
solid-state drive?      固态驱动器
solid-state storage      固态存储
storage area network      存储区域网络
storage device      存储设备
tape library      磁带库
track      轨道
third-generation mobile telecommunications      第三代移动通信
fourth-generation mobile telecommunications      第四代移动通信
analog signal       模拟信号
asymmetric digital subscriber line      不对称数字用户线
backbone?See?bus.?bandwidth      主干总线.带宽
baseband      基带
Base station       基站
Bluetooth       蓝牙
broadband      宽带
bus      总线
bus network       总线网
cable modem        电缆调制解调器  
cable service provider      有线电视服务提供商
cellular service      蜂窝服务
client      客户
client/server network      客户机/服务器网络
coaxial cable       同轴电缆
communication channel       通信电路，信道
communication system       通信系统
computer network       计算机网络
connectivity       连通性
demodulation       解调, 检波
dial-up service       拨号服务
digital signal       数字信号
digital subscriber line      数字用户环线
digital subscriber line service      数字用户专线服务
directory server      目录服务器
domain name server      域名服务器
Downlink       向下链路 
DS3      
Ethernet      以太网
Ethernet cable      以太网电缆
extranet       外联网
fiber-optic cable       光纤电缆
firewall       防火墙
global positioning system       全球定位系统
hierarchical network?See?tree network.?home network      分层次网络，参见树型网络，家庭网络
host      主机
hotspot      热点
hypertext transfer protocol secure      超文本传输协议
hub       网络集线器
infrared       红外线 
intrusion detection system      入侵检测系统
local area network      局部区域网络
low bandwidth       低带宽 
Long Term Evolution      长期演进技术
medium band      中带宽度
megabits per second      兆比特每秒
mesh network      网状网络
metropolitan area network       城域网
microwave       微波 
modem       调制解调器
modulation       调制
network administrator       网络管理员
network architecture       网络体系结构
network gateway       网络网关 
network interface card      网络接口卡
network operating system      网络操作系统 
node      节点
optical carrier?      光载波
packet       包，分组；数据[信息]包；分组报文；数据分组 
peer-to-peer network      对等网络
personal area network      个人区域网络
protocol        协议
proxy server       代理服务器 
ring network       环型网络 
router      路由器
satellite        卫星
satellite connection service      卫星连接设备
server        服务器
star network        星型网络
strategy       策略
switch      开关
telephone line       电话线 
telephone modem      电话调制解调器
topology      拓扑结构
transfer rate        传输速率
transmission control protocol/Internet protocol      传输控制协议/网际协议
tree Network      树形网络
twisted-pair cable      双绞[扭]线电缆
uplink        向上传输,上行线, 卫星上行链路
virtual private network      虚拟专用网
voiceband       语音频道 
wide area network       广域网 
wireless fidelity      无线保真
Worldwide Interoperability for Microwave Access?Technology      
wireless LAN        无线局域网
wireless modem        无线调制解调器
wireless wide area network  modem      无线广域网络的调制解调器
access       访问 
accuracy        正确性
antispyware      反间谍软件
biometric scanning       生物特征扫描 
botnet      僵尸网络
browser cache      浏览器缓存
computer crime        计算机犯罪
computer ethics        计算机道德规范
Computer Fraud and Abuse Act      计算机诈骗和滥用行动
computer monitoring software      计算机监控软件
cookies      信息记录程序
copyright      版权
cracker        解密高手
cyberbullying      网络欺凌
cybercrime      网络犯罪
data security       数据安全 
denial of service attack        拒绝服务攻击
dictionary attack      字典式攻击
Digital Millennium Copyright Act      数字千年版权法案
digital rights management      数字版权管理
disaster recovery plan      灾难恢复计划
electronic profile      电子文档 
encryption      加密
encryption key      加密密钥
ethics        道德规范
Family Educational Rights and Privacy Act      家庭教育权利和隐私法案
firewall        防火墙
first-party cookie      第一方Cookie
Freedom of Information Act       信息自由法案
hacker        电脑黑客
Health Insurance Portability and Accountability Act      健康保险流通与责任法案
history file        历史文件
hypertext transfer protocol secure      超文本传输协议
identify theft        身份盗窃
illusion of anonymity        匿名假象
information brokers        信息经纪人
information resellers        信息转售商
key      键入
keystroke loggers      按键记录器
malware      恶意软件
mistaken identity      错误身份 
online identity      在线身份
password      密码
phishing      网络欺诈
physical security      物理安全
plagiarism      剽窃
plagiarist      剽窃者
privacy      隐私 
privacy mode      隐私模式
Private Browsing      私人浏览
property      财产
reverse directory      反向目录
robot network      机器人网络
rogue Wi-Fi hotspot      流氓WiFi热点
scam      欺诈
security      安全
spy removal program      间谍删除程序
spyware      间谍软件
temporary Internet file      临时互联网文件
third-party cookies      
virtual private network      虚拟专用网络
virus      病毒
web bugs      网络漏洞
wireless network encryption      无线网络加密
worm      蠕虫
zombie      僵尸

